{'model_name': 'RNN', 'input_size': 6, 'hidden_size': 64, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=1), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'day_numpy_train': array([3894,  692,  517,  377,  289,  240,  229,  189,  189,  176,  165,
        127,  117,  155,  173,  193,  351])}
      train: epoch 0 loss 0.145917  auc  0.0000 MAE  0.2141 rmse  0.2722  df(ActivateDay.Avg) 0.2022
               valid loss 0.586756  auc  0.0000 MAE  0.1760 rmse  0.2436  df(ActivateDay.Avg) 0.0813
                test loss 0.571065  auc  0.0000 MAE  0.1813 rmse  0.2503  df(ActivateDay.Avg) 0.0673
      train: epoch 1 loss 0.111169  auc  0.0000 MAE  0.1773 rmse  0.2376  df(ActivateDay.Avg) 0.0671
               valid loss 0.573702  auc  0.0000 MAE  0.1654 rmse  0.2395  df(ActivateDay.Avg) 0.0142
                test loss 0.551465  auc  0.0000 MAE  0.1690 rmse  0.2449  df(ActivateDay.Avg) 0.0310
      train: epoch 2 loss 0.109713  auc  0.0000 MAE  0.1738 rmse  0.2361  df(ActivateDay.Avg) 0.0383
               valid loss 0.550441  auc  0.0000 MAE  0.1727 rmse  0.2330  df(ActivateDay.Avg) 0.0138
                test loss 0.531670  auc  0.0000 MAE  0.1769 rmse  0.2384  df(ActivateDay.Avg) 0.0046
      train: epoch 3 loss 0.108114  auc  0.0000 MAE  0.1722 rmse  0.2343  df(ActivateDay.Avg) 0.0348
               valid loss 0.556519  auc  0.0000 MAE  0.1652 rmse  0.2348  df(ActivateDay.Avg) 0.0281
      train: epoch 4 loss 0.106778  auc  0.0000 MAE  0.1703 rmse  0.2329  df(ActivateDay.Avg) 0.0244
               valid loss 0.532805  auc  0.0000 MAE  0.1720 rmse  0.2303  df(ActivateDay.Avg) 0.0465
                test loss 0.512806  auc  0.0000 MAE  0.1765 rmse  0.2364  df(ActivateDay.Avg) 0.0674
      train: epoch 5 loss 0.106593  auc  0.0000 MAE  0.1703 rmse  0.2327  df(ActivateDay.Avg) 0.0262
               valid loss 0.558746  auc  0.0000 MAE  0.1635 rmse  0.2305  df(ActivateDay.Avg) 0.0162
      train: epoch 6 loss 0.105001  auc  0.0000 MAE  0.1681 rmse  0.2309  df(ActivateDay.Avg) 0.0179
