{'model_name': 'LSCNN', 'embedding_size': 64, 'hidden_size': 8, 'lstm_2_input_size': 100, 'lscnn_conv2_kernel': 3, 'lscnn_conv2_outputsize': 20, 'lscnn_pool_kernel': 2, 'dropout_p': 0.1, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=0), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3911,  668,  493,  398,  283,  260,  234,  166,  188,  185,  147,
        139,  129,  163,  169,  188,  352])}
      train: epoch 0 loss 0.131806  auc  0.0000 MAE  0.1953 rmse  0.2587  df(ActivateDay.Avg) 0.1004
               valid loss 0.572543  auc  0.0000 MAE  0.1588 rmse  0.2232  df(ActivateDay.Avg) 0.0554
                test loss 0.585362  auc  0.0000 MAE  0.1680 rmse  0.2351  df(ActivateDay.Avg) 0.0810
      train: epoch 1 loss 0.099938  auc  0.0000 MAE  0.1640 rmse  0.2253  df(ActivateDay.Avg) 0.0110
               valid loss 0.541111  auc  0.0000 MAE  0.1547 rmse  0.2147  df(ActivateDay.Avg) 0.0009
                test loss 0.552696  auc  0.0000 MAE  0.1639 rmse  0.2256  df(ActivateDay.Avg) 0.0280
      train: epoch 2 loss 0.093868  auc  0.0000 MAE  0.1572 rmse  0.2184  df(ActivateDay.Avg) 0.0057
               valid loss 0.575798  auc  0.0000 MAE  0.1448 rmse  0.2105  df(ActivateDay.Avg) 0.0775
                test loss 0.588618  auc  0.0000 MAE  0.1530 rmse  0.2207  df(ActivateDay.Avg) 0.1063
      train: epoch 3 loss 0.090992  auc  0.0000 MAE  0.1529 rmse  0.2150  df(ActivateDay.Avg) 0.0041
               valid loss 0.558119  auc  0.0000 MAE  0.1448 rmse  0.2080  df(ActivateDay.Avg) 0.0633
                test loss 0.565786  auc  0.0000 MAE  0.1518 rmse  0.2157  df(ActivateDay.Avg) 0.0907
      train: epoch 4 loss 0.087854  auc  0.0000 MAE  0.1490 rmse  0.2112  df(ActivateDay.Avg) 0.0045
               valid loss 0.521551  auc  0.0000 MAE  0.1477 rmse  0.2056  df(ActivateDay.Avg) 0.0157
                test loss 0.527881  auc  0.0000 MAE  0.1544 rmse  0.2124  df(ActivateDay.Avg) 0.0187
      train: epoch 5 loss 0.087137  auc  0.0000 MAE  0.1485 rmse  0.2104  df(ActivateDay.Avg) 0.0057
               valid loss 0.549165  auc  0.0000 MAE  0.1416 rmse  0.2042  df(ActivateDay.Avg) 0.0470
                test loss 0.556657  auc  0.0000 MAE  0.1480 rmse  0.2116  df(ActivateDay.Avg) 0.0780
      train: epoch 6 loss 0.086709  auc  0.0000 MAE  0.1478 rmse  0.2099  df(ActivateDay.Avg) 0.0032
               valid loss 0.583659  auc  0.0000 MAE  0.1373 rmse  0.2049  df(ActivateDay.Avg) 0.0927
      train: epoch 7 loss 0.084489  auc  0.0000 MAE  0.1455 rmse  0.2072  df(ActivateDay.Avg) 0.0013
               valid loss 0.521233  auc  0.0000 MAE  0.1413 rmse  0.2015  df(ActivateDay.Avg) 0.0246
                test loss 0.527909  auc  0.0000 MAE  0.1486 rmse  0.2090  df(ActivateDay.Avg) 0.0080
      train: epoch 8 loss 0.083834  auc  0.0000 MAE  0.1440 rmse  0.2064  df(ActivateDay.Avg) 0.0142
               valid loss 0.476788  auc  0.0000 MAE  0.1534 rmse  0.2047  df(ActivateDay.Avg) 0.1646
      train: epoch 9 loss 0.083588  auc  0.0000 MAE  0.1435 rmse  0.2061  df(ActivateDay.Avg) 0.0032
               valid loss 0.542959  auc  0.0000 MAE  0.1370 rmse  0.2010  df(ActivateDay.Avg) 0.0001
                test loss 0.553900  auc  0.0000 MAE  0.1448 rmse  0.2097  df(ActivateDay.Avg) 0.0378
     train: epoch 10 loss 0.082307  auc  0.0000 MAE  0.1431 rmse  0.2045  df(ActivateDay.Avg) 0.0088
               valid loss 0.625613  auc  0.0000 MAE  0.1328 rmse  0.2055  df(ActivateDay.Avg) 0.1458
     train: epoch 11 loss 0.081878  auc  0.0000 MAE  0.1416 rmse  0.2039  df(ActivateDay.Avg) 0.0095
               valid loss 0.470691  auc  0.0000 MAE  0.1528 rmse  0.2030  df(ActivateDay.Avg) 0.1602
     train: epoch 12 loss 0.080798  auc  0.0000 MAE  0.1419 rmse  0.2026  df(ActivateDay.Avg) 0.0079
               valid loss 0.609831  auc  0.0000 MAE  0.1320 rmse  0.2023  df(ActivateDay.Avg) 0.1392
     train: epoch 13 loss 0.080520  auc  0.0000 MAE  0.1399 rmse  0.2022  df(ActivateDay.Avg) 0.0107
               valid loss 0.535509  auc  0.0000 MAE  0.1376 rmse  0.2003  df(ActivateDay.Avg) 0.0034
                test loss 0.541125  auc  0.0000 MAE  0.1446 rmse  0.2076  df(ActivateDay.Avg) 0.0310
     train: epoch 14 loss 0.079635  auc  0.0000 MAE  0.1400 rmse  0.2011  df(ActivateDay.Avg) 0.0013
               valid loss 0.516246  auc  0.0000 MAE  0.1394 rmse  0.1983  df(ActivateDay.Avg) 0.0277
                test loss 0.522330  auc  0.0000 MAE  0.1468 rmse  0.2064  df(ActivateDay.Avg) 0.0069
     train: epoch 15 loss 0.079147  auc  0.0000 MAE  0.1395 rmse  0.2005  df(ActivateDay.Avg) 0.0015
               valid loss 0.565100  auc  0.0000 MAE  0.1351 rmse  0.1999  df(ActivateDay.Avg) 0.0843
     train: epoch 16 loss 0.078935  auc  0.0000 MAE  0.1383 rmse  0.2002  df(ActivateDay.Avg) 0.0066
               valid loss 0.510943  auc  0.0000 MAE  0.1401 rmse  0.1981  df(ActivateDay.Avg) 0.0429
                test loss 0.517093  auc  0.0000 MAE  0.1476 rmse  0.2066  df(ActivateDay.Avg) 0.0101
     train: epoch 17 loss 0.078449  auc  0.0000 MAE  0.1387 rmse  0.1996  df(ActivateDay.Avg) 0.0014
               valid loss 0.554419  auc  0.0000 MAE  0.1343 rmse  0.1980  df(ActivateDay.Avg) 0.0527
                test loss 0.563119  auc  0.0000 MAE  0.1427 rmse  0.2089  df(ActivateDay.Avg) 0.0855
     train: epoch 18 loss 0.077446  auc  0.0000 MAE  0.1380 rmse  0.1983  df(ActivateDay.Avg) 0.0008
               valid loss 0.535626  auc  0.0000 MAE  0.1345 rmse  0.1977  df(ActivateDay.Avg) 0.0047
                test loss 0.542545  auc  0.0000 MAE  0.1433 rmse  0.2076  df(ActivateDay.Avg) 0.0280
     train: epoch 19 loss 0.077902  auc  0.0000 MAE  0.1370 rmse  0.1989  df(ActivateDay.Avg) 0.0045
               valid loss 0.488069  auc  0.0000 MAE  0.1443 rmse  0.1992  df(ActivateDay.Avg) 0.1247
     train: epoch 20 loss 0.076325  auc  0.0000 MAE  0.1373 rmse  0.1969  df(ActivateDay.Avg) 0.0098
               valid loss 0.561491  auc  0.0000 MAE  0.1321 rmse  0.1977  df(ActivateDay.Avg) 0.0384
     train: epoch 21 loss 0.076015  auc  0.0000 MAE  0.1359 rmse  0.1965  df(ActivateDay.Avg) 0.0051
               valid loss 0.488089  auc  0.0000 MAE  0.1417 rmse  0.1980  df(ActivateDay.Avg) 0.1156
     train: epoch 22 loss 0.075344  auc  0.0000 MAE  0.1349 rmse  0.1956  df(ActivateDay.Avg) 0.0030
               valid loss 0.588155  auc  0.0000 MAE  0.1320 rmse  0.2003  df(ActivateDay.Avg) 0.0945
     train: epoch 23 loss 0.075344  auc  0.0000 MAE  0.1351 rmse  0.1956  df(ActivateDay.Avg) 0.0015
               valid loss 0.451993  auc  0.0000 MAE  0.1545 rmse  0.2029  df(ActivateDay.Avg) 0.2265
     train: epoch 24 loss 0.073754  auc  0.0000 MAE  0.1343 rmse  0.1936  df(ActivateDay.Avg) 0.0087
               valid loss 0.494531  auc  0.0000 MAE  0.1392 rmse  0.2003  df(ActivateDay.Avg) 0.1226
     train: epoch 25 loss 0.074315  auc  0.0000 MAE  0.1334 rmse  0.1943  df(ActivateDay.Avg) 0.0028
