{'model_name': 'CLSA', 'clas_conv2_kernel': 3, 'clsa_conv2_output_size': 7, 'clas_pool_kernel': 2, 'lstm_input_size': 100, 'hidden_size': 14, 'attention_input_size': 28, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 4, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=4), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3892,  672,  537,  372,  279,  267,  256,  184,  178,  181,  153,
        123,  116,  161,  167,  187,  348])}
      train: epoch 0 loss 0.127886  auc  0.0000 MAE  0.1922 rmse  0.2549  df(ActivateDay.Avg) 0.0464
               valid loss 0.548236  auc  0.0000 MAE  0.1711 rmse  0.2415  df(ActivateDay.Avg) 0.0457
                test loss 0.579865  auc  0.0000 MAE  0.1720 rmse  0.2432  df(ActivateDay.Avg) 0.0637
      train: epoch 1 loss 0.106289  auc  0.0000 MAE  0.1675 rmse  0.2324  df(ActivateDay.Avg) 0.0068
               valid loss 0.562296  auc  0.0000 MAE  0.1668 rmse  0.2385  df(ActivateDay.Avg) 0.0969
                test loss 0.595266  auc  0.0000 MAE  0.1698 rmse  0.2422  df(ActivateDay.Avg) 0.1129
      train: epoch 2 loss 0.098854  auc  0.0000 MAE  0.1597 rmse  0.2241  df(ActivateDay.Avg) 0.0010
               valid loss 0.511155  auc  0.0000 MAE  0.1697 rmse  0.2344  df(ActivateDay.Avg) 0.0536
                test loss 0.539151  auc  0.0000 MAE  0.1722 rmse  0.2371  df(ActivateDay.Avg) 0.0405
      train: epoch 3 loss 0.096449  auc  0.0000 MAE  0.1564 rmse  0.2213  df(ActivateDay.Avg) 0.0041
               valid loss 0.560679  auc  0.0000 MAE  0.1598 rmse  0.2342  df(ActivateDay.Avg) 0.0630
                test loss 0.595655  auc  0.0000 MAE  0.1629 rmse  0.2374  df(ActivateDay.Avg) 0.0818
      train: epoch 4 loss 0.092364  auc  0.0000 MAE  0.1527 rmse  0.2166  df(ActivateDay.Avg) 0.0028
               valid loss 0.530333  auc  0.0000 MAE  0.1630 rmse  0.2326  df(ActivateDay.Avg) 0.0005
                test loss 0.562787  auc  0.0000 MAE  0.1645 rmse  0.2340  df(ActivateDay.Avg) 0.0147
      train: epoch 5 loss 0.091653  auc  0.0000 MAE  0.1511 rmse  0.2158  df(ActivateDay.Avg) 0.0040
               valid loss 0.557571  auc  0.0000 MAE  0.1624 rmse  0.2335  df(ActivateDay.Avg) 0.1000
      train: epoch 6 loss 0.088366  auc  0.0000 MAE  0.1485 rmse  0.2119  df(ActivateDay.Avg) 0.0077
               valid loss 0.571062  auc  0.0000 MAE  0.1540 rmse  0.2332  df(ActivateDay.Avg) 0.0559
      train: epoch 7 loss 0.085049  auc  0.0000 MAE  0.1449 rmse  0.2078  df(ActivateDay.Avg) 0.0010
               valid loss 0.497737  auc  0.0000 MAE  0.1672 rmse  0.2327  df(ActivateDay.Avg) 0.0867
      train: epoch 8 loss 0.085271  auc  0.0000 MAE  0.1451 rmse  0.2081  df(ActivateDay.Avg) 0.0023
               valid loss 0.620719  auc  0.0000 MAE  0.1537 rmse  0.2385  df(ActivateDay.Avg) 0.1666
      train: epoch 9 loss 0.083105  auc  0.0000 MAE  0.1424 rmse  0.2055  df(ActivateDay.Avg) 0.0070
               valid loss 0.522610  auc  0.0000 MAE  0.1618 rmse  0.2334  df(ActivateDay.Avg) 0.0347
     train: epoch 10 loss 0.081342  auc  0.0000 MAE  0.1409 rmse  0.2033  df(ActivateDay.Avg) 0.0005
               valid loss 0.536889  auc  0.0000 MAE  0.1615 rmse  0.2328  df(ActivateDay.Avg) 0.0357
     train: epoch 11 loss 0.079906  auc  0.0000 MAE  0.1386 rmse  0.2015  df(ActivateDay.Avg) 0.0122
               valid loss 0.509790  auc  0.0000 MAE  0.1614 rmse  0.2383  df(ActivateDay.Avg) 0.1208
     train: epoch 12 loss 0.076747  auc  0.0000 MAE  0.1365 rmse  0.1974  df(ActivateDay.Avg) 0.0007
               valid loss 0.533934  auc  0.0000 MAE  0.1607 rmse  0.2341  df(ActivateDay.Avg) 0.0000
     train: epoch 13 loss 0.076677  auc  0.0000 MAE  0.1359 rmse  0.1973  df(ActivateDay.Avg) 0.0088
               valid loss 0.541408  auc  0.0000 MAE  0.1572 rmse  0.2368  df(ActivateDay.Avg) 0.0344
     train: epoch 14 loss 0.075287  auc  0.0000 MAE  0.1350 rmse  0.1956  df(ActivateDay.Avg) 0.0037
               valid loss 0.522968  auc  0.0000 MAE  0.1611 rmse  0.2343  df(ActivateDay.Avg) 0.0355
     train: epoch 15 loss 0.072763  auc  0.0000 MAE  0.1317 rmse  0.1922  df(ActivateDay.Avg) 0.0057
               valid loss 0.508792  auc  0.0000 MAE  0.1699 rmse  0.2371  df(ActivateDay.Avg) 0.0645
     train: epoch 16 loss 0.071628  auc  0.0000 MAE  0.1312 rmse  0.1907  df(ActivateDay.Avg) 0.0021
               valid loss 0.522957  auc  0.0000 MAE  0.1597 rmse  0.2333  df(ActivateDay.Avg) 0.0225
     train: epoch 17 loss 0.068906  auc  0.0000 MAE  0.1274 rmse  0.1871  df(ActivateDay.Avg) 0.0016
               valid loss 0.587532  auc  0.0000 MAE  0.1572 rmse  0.2393  df(ActivateDay.Avg) 0.1279
     train: epoch 18 loss 0.069552  auc  0.0000 MAE  0.1287 rmse  0.1880  df(ActivateDay.Avg) 0.0083
               valid loss 0.523104  auc  0.0000 MAE  0.1609 rmse  0.2359  df(ActivateDay.Avg) 0.0355
     train: epoch 19 loss 0.066403  auc  0.0000 MAE  0.1253 rmse  0.1837  df(ActivateDay.Avg) 0.0015
               valid loss 0.557479  auc  0.0000 MAE  0.1570 rmse  0.2374  df(ActivateDay.Avg) 0.0327
     train: epoch 20 loss 0.063685  auc  0.0000 MAE  0.1220 rmse  0.1799  df(ActivateDay.Avg) 0.0044
               valid loss 0.583358  auc  0.0000 MAE  0.1581 rmse  0.2411  df(ActivateDay.Avg) 0.1037
     train: epoch 21 loss 0.063134  auc  0.0000 MAE  0.1211 rmse  0.1791  df(ActivateDay.Avg) 0.0072
               valid loss 0.523692  auc  0.0000 MAE  0.1615 rmse  0.2402  df(ActivateDay.Avg) 0.0544
     train: epoch 22 loss 0.061581  auc  0.0000 MAE  0.1200 rmse  0.1769  df(ActivateDay.Avg) 0.0017
               valid loss 0.593688  auc  0.0000 MAE  0.1570 rmse  0.2420  df(ActivateDay.Avg) 0.1193
     train: epoch 23 loss 0.062722  auc  0.0000 MAE  0.1206 rmse  0.1785  df(ActivateDay.Avg) 0.0073
               valid loss 0.490892  auc  0.0000 MAE  0.1660 rmse  0.2386  df(ActivateDay.Avg) 0.1297
     train: epoch 24 loss 0.057723  auc  0.0000 MAE  0.1165 rmse  0.1712  df(ActivateDay.Avg) 0.0026
               valid loss 0.559405  auc  0.0000 MAE  0.1608 rmse  0.2408  df(ActivateDay.Avg) 0.0473
     train: epoch 25 loss 0.056651  auc  0.0000 MAE  0.1151 rmse  0.1696  df(ActivateDay.Avg) 0.0006
               valid loss 0.509023  auc  0.0000 MAE  0.1714 rmse  0.2461  df(ActivateDay.Avg) 0.0932
     train: epoch 26 loss 0.055412  auc  0.0000 MAE  0.1120 rmse  0.1678  df(ActivateDay.Avg) 0.0092
               valid loss 0.549234  auc  0.0000 MAE  0.1647 rmse  0.2439  df(ActivateDay.Avg) 0.0410
     train: epoch 27 loss 0.053185  auc  0.0000 MAE  0.1110 rmse  0.1644  df(ActivateDay.Avg) 0.0046
               valid loss 0.578073  auc  0.0000 MAE  0.1605 rmse  0.2449  df(ActivateDay.Avg) 0.0876
     train: epoch 28 loss 0.054064  auc  0.0000 MAE  0.1117 rmse  0.1657  df(ActivateDay.Avg) 0.0051
               valid loss 0.542995  auc  0.0000 MAE  0.1623 rmse  0.2439  df(ActivateDay.Avg) 0.0069
     train: epoch 29 loss 0.050620  auc  0.0000 MAE  0.1090 rmse  0.1603  df(ActivateDay.Avg) 0.0084
               valid loss 0.575083  auc  0.0000 MAE  0.1563 rmse  0.2452  df(ActivateDay.Avg) 0.0339
     train: epoch 30 loss 0.047933  auc  0.0000 MAE  0.1042 rmse  0.1560  df(ActivateDay.Avg) 0.0033
               valid loss 0.488634  auc  0.0000 MAE  0.1744 rmse  0.2491  df(ActivateDay.Avg) 0.1734
     train: epoch 31 loss 0.047899  auc  0.0000 MAE  0.1047 rmse  0.1560  df(ActivateDay.Avg) 0.0068
               valid loss 0.530164  auc  0.0000 MAE  0.1666 rmse  0.2485  df(ActivateDay.Avg) 0.0597
