{'model_name': 'MLP', 'embedding_size': 64, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'deep_layers': [100, 50], 'dropout_p': 0.2, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 3, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=3), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3915,  679,  514,  362,  268,  263,  241,  181,  181,  188,  158,
        138,  120,  154,  184,  194,  333])}
      train: epoch 0 loss 0.127428  auc  0.0000 MAE  0.1762 rmse  0.2544  df(ActivateDay.Avg) 0.0157
               valid loss 0.667157  auc  0.0000 MAE  0.1615 rmse  0.2407  df(ActivateDay.Avg) 0.1661
                test loss 0.666993  auc  0.0000 MAE  0.1600 rmse  0.2399  df(ActivateDay.Avg) 0.1622
      train: epoch 1 loss 0.109039  auc  0.0000 MAE  0.1649 rmse  0.2353  df(ActivateDay.Avg) 0.0503
               valid loss 0.587259  auc  0.0000 MAE  0.1637 rmse  0.2326  df(ActivateDay.Avg) 0.0359
                test loss 0.598429  auc  0.0000 MAE  0.1650 rmse  0.2383  df(ActivateDay.Avg) 0.0468
      train: epoch 2 loss 0.106305  auc  0.0000 MAE  0.1618 rmse  0.2324  df(ActivateDay.Avg) 0.0536
               valid loss 0.639503  auc  0.0000 MAE  0.1569 rmse  0.2310  df(ActivateDay.Avg) 0.1252
                test loss 0.650117  auc  0.0000 MAE  0.1583 rmse  0.2366  df(ActivateDay.Avg) 0.1334
      train: epoch 3 loss 0.103660  auc  0.0000 MAE  0.1595 rmse  0.2295  df(ActivateDay.Avg) 0.0537
               valid loss 0.559947  auc  0.0000 MAE  0.1659 rmse  0.2317  df(ActivateDay.Avg) 0.0201
      train: epoch 4 loss 0.100658  auc  0.0000 MAE  0.1577 rmse  0.2261  df(ActivateDay.Avg) 0.0488
               valid loss 0.593914  auc  0.0000 MAE  0.1614 rmse  0.2317  df(ActivateDay.Avg) 0.0486
      train: epoch 5 loss 0.099216  auc  0.0000 MAE  0.1561 rmse  0.2245  df(ActivateDay.Avg) 0.0509
               valid loss 0.560817  auc  0.0000 MAE  0.1667 rmse  0.2332  df(ActivateDay.Avg) 0.0017
      train: epoch 6 loss 0.097502  auc  0.0000 MAE  0.1544 rmse  0.2225  df(ActivateDay.Avg) 0.0472
               valid loss 0.577350  auc  0.0000 MAE  0.1642 rmse  0.2328  df(ActivateDay.Avg) 0.0123
      train: epoch 7 loss 0.097218  auc  0.0000 MAE  0.1553 rmse  0.2222  df(ActivateDay.Avg) 0.0389
               valid loss 0.644078  auc  0.0000 MAE  0.1542 rmse  0.2327  df(ActivateDay.Avg) 0.0947
      train: epoch 8 loss 0.094234  auc  0.0000 MAE  0.1511 rmse  0.2188  df(ActivateDay.Avg) 0.0514
               valid loss 0.587644  auc  0.0000 MAE  0.1661 rmse  0.2352  df(ActivateDay.Avg) 0.0420
      train: epoch 9 loss 0.094890  auc  0.0000 MAE  0.1522 rmse  0.2195  df(ActivateDay.Avg) 0.0510
               valid loss 0.585326  auc  0.0000 MAE  0.1633 rmse  0.2338  df(ActivateDay.Avg) 0.0230
     train: epoch 10 loss 0.093258  auc  0.0000 MAE  0.1512 rmse  0.2176  df(ActivateDay.Avg) 0.0460
               valid loss 0.617938  auc  0.0000 MAE  0.1566 rmse  0.2324  df(ActivateDay.Avg) 0.0570
     train: epoch 11 loss 0.093248  auc  0.0000 MAE  0.1499 rmse  0.2176  df(ActivateDay.Avg) 0.0532
               valid loss 0.615757  auc  0.0000 MAE  0.1580 rmse  0.2325  df(ActivateDay.Avg) 0.0598
     train: epoch 12 loss 0.091399  auc  0.0000 MAE  0.1480 rmse  0.2155  df(ActivateDay.Avg) 0.0424
               valid loss 0.608166  auc  0.0000 MAE  0.1577 rmse  0.2304  df(ActivateDay.Avg) 0.0712
                test loss 0.615136  auc  0.0000 MAE  0.1587 rmse  0.2328  df(ActivateDay.Avg) 0.0761
     train: epoch 13 loss 0.090785  auc  0.0000 MAE  0.1490 rmse  0.2147  df(ActivateDay.Avg) 0.0400
               valid loss 0.603056  auc  0.0000 MAE  0.1573 rmse  0.2319  df(ActivateDay.Avg) 0.0221
     train: epoch 14 loss 0.089253  auc  0.0000 MAE  0.1479 rmse  0.2129  df(ActivateDay.Avg) 0.0334
               valid loss 0.608851  auc  0.0000 MAE  0.1568 rmse  0.2319  df(ActivateDay.Avg) 0.0628
     train: epoch 15 loss 0.090139  auc  0.0000 MAE  0.1482 rmse  0.2140  df(ActivateDay.Avg) 0.0341
               valid loss 0.592512  auc  0.0000 MAE  0.1606 rmse  0.2311  df(ActivateDay.Avg) 0.0591
     train: epoch 16 loss 0.089025  auc  0.0000 MAE  0.1483 rmse  0.2126  df(ActivateDay.Avg) 0.0338
               valid loss 0.628276  auc  0.0000 MAE  0.1556 rmse  0.2316  df(ActivateDay.Avg) 0.0994
     train: epoch 17 loss 0.088295  auc  0.0000 MAE  0.1458 rmse  0.2118  df(ActivateDay.Avg) 0.0321
               valid loss 0.589213  auc  0.0000 MAE  0.1592 rmse  0.2308  df(ActivateDay.Avg) 0.0478
     train: epoch 18 loss 0.088231  auc  0.0000 MAE  0.1469 rmse  0.2117  df(ActivateDay.Avg) 0.0325
               valid loss 0.571297  auc  0.0000 MAE  0.1621 rmse  0.2320  df(ActivateDay.Avg) 0.0022
     train: epoch 19 loss 0.088381  auc  0.0000 MAE  0.1468 rmse  0.2119  df(ActivateDay.Avg) 0.0267
               valid loss 0.617191  auc  0.0000 MAE  0.1575 rmse  0.2314  df(ActivateDay.Avg) 0.0947
     train: epoch 20 loss 0.086019  auc  0.0000 MAE  0.1446 rmse  0.2090  df(ActivateDay.Avg) 0.0299
               valid loss 0.555017  auc  0.0000 MAE  0.1643 rmse  0.2322  df(ActivateDay.Avg) 0.0337
     train: epoch 21 loss 0.085452  auc  0.0000 MAE  0.1442 rmse  0.2083  df(ActivateDay.Avg) 0.0301
               valid loss 0.589029  auc  0.0000 MAE  0.1592 rmse  0.2305  df(ActivateDay.Avg) 0.0347
     train: epoch 22 loss 0.085150  auc  0.0000 MAE  0.1436 rmse  0.2080  df(ActivateDay.Avg) 0.0311
               valid loss 0.585049  auc  0.0000 MAE  0.1612 rmse  0.2311  df(ActivateDay.Avg) 0.0476
     train: epoch 23 loss 0.082994  auc  0.0000 MAE  0.1411 rmse  0.2053  df(ActivateDay.Avg) 0.0346
               valid loss 0.599461  auc  0.0000 MAE  0.1590 rmse  0.2346  df(ActivateDay.Avg) 0.0378
     train: epoch 24 loss 0.083437  auc  0.0000 MAE  0.1425 rmse  0.2059  df(ActivateDay.Avg) 0.0215
               valid loss 0.615808  auc  0.0000 MAE  0.1574 rmse  0.2343  df(ActivateDay.Avg) 0.0541
     train: epoch 25 loss 0.082383  auc  0.0000 MAE  0.1416 rmse  0.2046  df(ActivateDay.Avg) 0.0175
               valid loss 0.613480  auc  0.0000 MAE  0.1586 rmse  0.2344  df(ActivateDay.Avg) 0.0739
     train: epoch 26 loss 0.081354  auc  0.0000 MAE  0.1398 rmse  0.2033  df(ActivateDay.Avg) 0.0269
               valid loss 0.604696  auc  0.0000 MAE  0.1578 rmse  0.2320  df(ActivateDay.Avg) 0.0799
     train: epoch 27 loss 0.081540  auc  0.0000 MAE  0.1401 rmse  0.2035  df(ActivateDay.Avg) 0.0256
               valid loss 0.532695  auc  0.0000 MAE  0.1674 rmse  0.2325  df(ActivateDay.Avg) 0.0941
     train: epoch 28 loss 0.081652  auc  0.0000 MAE  0.1405 rmse  0.2037  df(ActivateDay.Avg) 0.0204
               valid loss 0.577120  auc  0.0000 MAE  0.1603 rmse  0.2314  df(ActivateDay.Avg) 0.0201
     train: epoch 29 loss 0.080663  auc  0.0000 MAE  0.1393 rmse  0.2024  df(ActivateDay.Avg) 0.0177
               valid loss 0.562237  auc  0.0000 MAE  0.1629 rmse  0.2339  df(ActivateDay.Avg) 0.0251
     train: epoch 30 loss 0.079319  auc  0.0000 MAE  0.1386 rmse  0.2007  df(ActivateDay.Avg) 0.0212
               valid loss 0.569450  auc  0.0000 MAE  0.1646 rmse  0.2342  df(ActivateDay.Avg) 0.0150
     train: epoch 31 loss 0.079311  auc  0.0000 MAE  0.1384 rmse  0.2007  df(ActivateDay.Avg) 0.0171
               valid loss 0.573709  auc  0.0000 MAE  0.1594 rmse  0.2321  df(ActivateDay.Avg) 0.0008
