{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.2, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=1), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3878,  688,  510,  374,  302,  262,  250,  187,  171,  166,  161,
        124,  124,  163,  169,  202,  342])}
      train: epoch 0 loss 0.116861  auc  0.0000 MAE  0.1782 rmse  0.2436  df(ActivateDay.Avg) 0.0029
               valid loss 0.524811  auc  0.0000 MAE  0.1709 rmse  0.2258  df(ActivateDay.Avg) 0.0184
                test loss 0.534946  auc  0.0000 MAE  0.1708 rmse  0.2279  df(ActivateDay.Avg) 0.0051
      train: epoch 1 loss 0.101536  auc  0.0000 MAE  0.1649 rmse  0.2271  df(ActivateDay.Avg) 0.0073
               valid loss 0.536610  auc  0.0000 MAE  0.1604 rmse  0.2204  df(ActivateDay.Avg) 0.0275
                test loss 0.549779  auc  0.0000 MAE  0.1604 rmse  0.2230  df(ActivateDay.Avg) 0.0041
      train: epoch 2 loss 0.099814  auc  0.0000 MAE  0.1633 rmse  0.2252  df(ActivateDay.Avg) 0.0034
               valid loss 0.525462  auc  0.0000 MAE  0.1606 rmse  0.2182  df(ActivateDay.Avg) 0.0079
                test loss 0.538886  auc  0.0000 MAE  0.1609 rmse  0.2206  df(ActivateDay.Avg) 0.0143
      train: epoch 3 loss 0.097196  auc  0.0000 MAE  0.1605 rmse  0.2222  df(ActivateDay.Avg) 0.0082
               valid loss 0.453335  auc  0.0000 MAE  0.1749 rmse  0.2265  df(ActivateDay.Avg) 0.2606
      train: epoch 4 loss 0.097813  auc  0.0000 MAE  0.1613 rmse  0.2229  df(ActivateDay.Avg) 0.0089
               valid loss 0.563164  auc  0.0000 MAE  0.1495 rmse  0.2158  df(ActivateDay.Avg) 0.0866
                test loss 0.579323  auc  0.0000 MAE  0.1498 rmse  0.2180  df(ActivateDay.Avg) 0.0679
      train: epoch 5 loss 0.097499  auc  0.0000 MAE  0.1599 rmse  0.2225  df(ActivateDay.Avg) 0.0021
               valid loss 0.512646  auc  0.0000 MAE  0.1616 rmse  0.2166  df(ActivateDay.Avg) 0.0130
      train: epoch 6 loss 0.095418  auc  0.0000 MAE  0.1593 rmse  0.2202  df(ActivateDay.Avg) 0.0134
               valid loss 0.506494  auc  0.0000 MAE  0.1582 rmse  0.2146  df(ActivateDay.Avg) 0.0516
                test loss 0.520024  auc  0.0000 MAE  0.1583 rmse  0.2171  df(ActivateDay.Avg) 0.0754
      train: epoch 7 loss 0.097231  auc  0.0000 MAE  0.1599 rmse  0.2222  df(ActivateDay.Avg) 0.0007
