{'model_name': 'RNN', 'input_size': 7, 'hidden_size': 64, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 4, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=4), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'day_numpy_train': array([23230,  6089,  3359,  2442,  1971,  1626,  1357,  1037,   829,
         629,   498,   367,   272,   209,   122,    98,    78,    61,
          35,    28,    20,    16,    10,    13])}
      train: epoch 0 loss 0.218273  auc  0.0000 MAE  0.1017 rmse  0.1420  df(ActivateDay.Avg) 0.2040
               valid loss 4.405003  auc  0.0000 MAE  0.0897 rmse  0.1276  df(ActivateDay.Avg) 0.0367
                test loss 11.774094  auc  0.0000 MAE  0.0888 rmse  0.1263  df(ActivateDay.Avg) 0.0363
      train: epoch 1 loss 0.176886  auc  0.0000 MAE  0.0921 rmse  0.1278  df(ActivateDay.Avg) 0.0486
               valid loss 4.270436  auc  0.0000 MAE  0.0916 rmse  0.1272  df(ActivateDay.Avg) 0.0522
                test loss 11.415974  auc  0.0000 MAE  0.0907 rmse  0.1260  df(ActivateDay.Avg) 0.0530
      train: epoch 2 loss 0.176675  auc  0.0000 MAE  0.0918 rmse  0.1277  df(ActivateDay.Avg) 0.0411
               valid loss 4.151203  auc  0.0000 MAE  0.0949 rmse  0.1277  df(ActivateDay.Avg) 0.1251
      train: epoch 3 loss 0.176270  auc  0.0000 MAE  0.0916 rmse  0.1276  df(ActivateDay.Avg) 0.0393
               valid loss 4.280134  auc  0.0000 MAE  0.0915 rmse  0.1281  df(ActivateDay.Avg) 0.0584
      train: epoch 4 loss 0.176401  auc  0.0000 MAE  0.0916 rmse  0.1276  df(ActivateDay.Avg) 0.0383
               valid loss 4.287826  auc  0.0000 MAE  0.0916 rmse  0.1272  df(ActivateDay.Avg) 0.0353
                test loss 11.459966  auc  0.0000 MAE  0.0907 rmse  0.1259  df(ActivateDay.Avg) 0.0363
      train: epoch 5 loss 0.176830  auc  0.0000 MAE  0.0917 rmse  0.1278  df(ActivateDay.Avg) 0.0390
               valid loss 4.078841  auc  0.0000 MAE  0.0961 rmse  0.1286  df(ActivateDay.Avg) 0.1922
      train: epoch 6 loss 0.176866  auc  0.0000 MAE  0.0917 rmse  0.1278  df(ActivateDay.Avg) 0.0369
               valid loss 4.338199  auc  0.0000 MAE  0.0919 rmse  0.1284  df(ActivateDay.Avg) 0.0066
      train: epoch 7 loss 0.176379  auc  0.0000 MAE  0.0916 rmse  0.1276  df(ActivateDay.Avg) 0.0379
               valid loss 4.321129  auc  0.0000 MAE  0.0911 rmse  0.1274  df(ActivateDay.Avg) 0.0141
      train: epoch 8 loss 0.175966  auc  0.0000 MAE  0.0916 rmse  0.1275  df(ActivateDay.Avg) 0.0413
               valid loss 4.251188  auc  0.0000 MAE  0.0924 rmse  0.1274  df(ActivateDay.Avg) 0.0603
      train: epoch 9 loss 0.176400  auc  0.0000 MAE  0.0916 rmse  0.1276  df(ActivateDay.Avg) 0.0391
               valid loss 4.439056  auc  0.0000 MAE  0.0894 rmse  0.1278  df(ActivateDay.Avg) 0.0590
