{'model_name': 'LR', 'embedding_size': 32, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 6, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.2, 'device': device(type='cuda', index=6), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23230,  6089,  3359,  2442,  1971,  1626,  1357,  1037,   829,
         629,   498,   367,   272,   209,   122,    98,    78,    61,
          35,    28,    20,    16,    10,    13])}
      train: epoch 0 loss 0.376633  auc  0.0000 MAE  0.1092 rmse  0.1865  df(ActivateDay.Avg) 0.1103
               valid loss 2.509540  auc  0.0000 MAE  0.4411 rmse  0.4583  df(ActivateDay.Avg) 5.1315
                test loss 6.644639  auc  0.0000 MAE  0.4420 rmse  0.4585  df(ActivateDay.Avg) 5.1481
      train: epoch 1 loss 0.408583  auc  0.0000 MAE  0.1125 rmse  0.1943  df(ActivateDay.Avg) 0.0015
               valid loss 2.482239  auc  0.0000 MAE  0.4404 rmse  0.4565  df(ActivateDay.Avg) 5.1444
                test loss 6.580307  auc  0.0000 MAE  0.4405 rmse  0.4563  df(ActivateDay.Avg) 5.1536
      train: epoch 2 loss 1.048529  auc  0.0000 MAE  0.1306 rmse  0.3112  df(ActivateDay.Avg) 0.0073
               valid loss 2.583468  auc  0.0000 MAE  0.4408 rmse  0.4629  df(ActivateDay.Avg) 5.0899
      train: epoch 3 loss 0.444582  auc  0.0000 MAE  0.1109 rmse  0.2026  df(ActivateDay.Avg) 0.0096
               valid loss 2.491091  auc  0.0000 MAE  0.4397 rmse  0.4562  df(ActivateDay.Avg) 5.1332
                test loss 6.605916  auc  0.0000 MAE  0.4400 rmse  0.4560  df(ActivateDay.Avg) 5.1426
      train: epoch 4 loss 0.237952  auc  0.0000 MAE  0.0982 rmse  0.1482  df(ActivateDay.Avg) 0.0012
               valid loss 2.473626  auc  0.0000 MAE  0.4399 rmse  0.4559  df(ActivateDay.Avg) 5.1411
                test loss 6.558770  auc  0.0000 MAE  0.4402 rmse  0.4557  df(ActivateDay.Avg) 5.1503
      train: epoch 5 loss 0.229602  auc  0.0000 MAE  0.0980 rmse  0.1456  df(ActivateDay.Avg) 0.0001
               valid loss 2.481227  auc  0.0000 MAE  0.4397 rmse  0.4559  df(ActivateDay.Avg) 5.1373
                test loss 6.581615  auc  0.0000 MAE  0.4400 rmse  0.4557  df(ActivateDay.Avg) 5.1460
      train: epoch 6 loss 0.726653  auc  0.0000 MAE  0.1207 rmse  0.2591  df(ActivateDay.Avg) 0.0026
               valid loss 2.505638  auc  0.0000 MAE  0.4405 rmse  0.4574  df(ActivateDay.Avg) 5.1381
      train: epoch 7 loss 0.241171  auc  0.0000 MAE  0.0979 rmse  0.1492  df(ActivateDay.Avg) 0.0008
               valid loss 2.493984  auc  0.0000 MAE  0.4402 rmse  0.4568  df(ActivateDay.Avg) 5.1385
      train: epoch 8 loss 0.498620  auc  0.0000 MAE  0.1109 rmse  0.2146  df(ActivateDay.Avg) 0.0002
               valid loss 2.497216  auc  0.0000 MAE  0.4398 rmse  0.4564  df(ActivateDay.Avg) 5.1338
      train: epoch 9 loss 0.310682  auc  0.0000 MAE  0.1035 rmse  0.1694  df(ActivateDay.Avg) 0.0012
               valid loss 2.482535  auc  0.0000 MAE  0.4406 rmse  0.4570  df(ActivateDay.Avg) 5.1469
     train: epoch 10 loss 0.431368  auc  0.0000 MAE  0.1095 rmse  0.1996  df(ActivateDay.Avg) 0.0009
               valid loss 2.479860  auc  0.0000 MAE  0.4397 rmse  0.4559  df(ActivateDay.Avg) 5.1364
     train: epoch 11 loss 0.314003  auc  0.0000 MAE  0.1010 rmse  0.1703  df(ActivateDay.Avg) 0.0010
               valid loss 2.504178  auc  0.0000 MAE  0.4408 rmse  0.4576  df(ActivateDay.Avg) 5.1433
     train: epoch 12 loss 0.234821  auc  0.0000 MAE  0.0979 rmse  0.1473  df(ActivateDay.Avg) 0.0016
               valid loss 2.500419  auc  0.0000 MAE  0.4422 rmse  0.4587  df(ActivateDay.Avg) 5.1612
     train: epoch 13 loss 0.224045  auc  0.0000 MAE  0.0965 rmse  0.1438  df(ActivateDay.Avg) 0.0042
               valid loss 2.514112  auc  0.0000 MAE  0.4399 rmse  0.4572  df(ActivateDay.Avg) 5.1278
     train: epoch 14 loss 0.277729  auc  0.0000 MAE  0.1028 rmse  0.1602  df(ActivateDay.Avg) 0.0002
               valid loss 2.553203  auc  0.0000 MAE  0.4416 rmse  0.4599  df(ActivateDay.Avg) 5.1346
     train: epoch 15 loss 1.108523  auc  0.0000 MAE  0.1339 rmse  0.3200  df(ActivateDay.Avg) 0.0036
               valid loss 2.489868  auc  0.0000 MAE  0.4409 rmse  0.4573  df(ActivateDay.Avg) 5.1477
     train: epoch 16 loss 0.235222  auc  0.0000 MAE  0.0975 rmse  0.1474  df(ActivateDay.Avg) 0.0050
               valid loss 2.518663  auc  0.0000 MAE  0.4407 rmse  0.4580  df(ActivateDay.Avg) 5.1290
     train: epoch 17 loss 0.211410  auc  0.0000 MAE  0.0945 rmse  0.1397  df(ActivateDay.Avg) 0.0037
               valid loss 2.481739  auc  0.0000 MAE  0.4398 rmse  0.4559  df(ActivateDay.Avg) 5.1369
                test loss 6.581436  auc  0.0000 MAE  0.4400 rmse  0.4557  df(ActivateDay.Avg) 5.1460
     train: epoch 18 loss 0.259355  auc  0.0000 MAE  0.1004 rmse  0.1548  df(ActivateDay.Avg) 0.0020
               valid loss 2.494253  auc  0.0000 MAE  0.4398 rmse  0.4564  df(ActivateDay.Avg) 5.1344
     train: epoch 19 loss 0.203444  auc  0.0000 MAE  0.0944 rmse  0.1371  df(ActivateDay.Avg) 0.0009
               valid loss 2.504077  auc  0.0000 MAE  0.4398 rmse  0.4567  df(ActivateDay.Avg) 5.1298
     train: epoch 20 loss 0.246365  auc  0.0000 MAE  0.0984 rmse  0.1508  df(ActivateDay.Avg) 0.0017
               valid loss 2.497485  auc  0.0000 MAE  0.4405 rmse  0.4571  df(ActivateDay.Avg) 5.1417
     train: epoch 21 loss 0.271235  auc  0.0000 MAE  0.1002 rmse  0.1583  df(ActivateDay.Avg) 0.0015
               valid loss 2.495877  auc  0.0000 MAE  0.4407 rmse  0.4577  df(ActivateDay.Avg) 5.1356
     train: epoch 22 loss 0.512267  auc  0.0000 MAE  0.1115 rmse  0.2175  df(ActivateDay.Avg) 0.0010
               valid loss 2.546995  auc  0.0000 MAE  0.4437 rmse  0.4625  df(ActivateDay.Avg) 5.1458
     train: epoch 23 loss 0.514448  auc  0.0000 MAE  0.1104 rmse  0.2180  df(ActivateDay.Avg) 0.0019
               valid loss 2.484372  auc  0.0000 MAE  0.4390 rmse  0.4554  df(ActivateDay.Avg) 5.1253
                test loss 6.588630  auc  0.0000 MAE  0.4393 rmse  0.4551  df(ActivateDay.Avg) 5.1342
     train: epoch 24 loss 0.221833  auc  0.0000 MAE  0.0942 rmse  0.1431  df(ActivateDay.Avg) 0.0025
               valid loss 2.498194  auc  0.0000 MAE  0.4409 rmse  0.4575  df(ActivateDay.Avg) 5.1469
     train: epoch 25 loss 0.369668  auc  0.0000 MAE  0.1024 rmse  0.1848  df(ActivateDay.Avg) 0.0015
               valid loss 2.482840  auc  0.0000 MAE  0.4395 rmse  0.4557  df(ActivateDay.Avg) 5.1339
     train: epoch 26 loss 0.208619  auc  0.0000 MAE  0.0946 rmse  0.1388  df(ActivateDay.Avg) 0.0005
               valid loss 2.482661  auc  0.0000 MAE  0.4392 rmse  0.4554  df(ActivateDay.Avg) 5.1300
     train: epoch 27 loss 0.225902  auc  0.0000 MAE  0.0957 rmse  0.1444  df(ActivateDay.Avg) 0.0015
               valid loss 2.482706  auc  0.0000 MAE  0.4407 rmse  0.4569  df(ActivateDay.Avg) 5.1484
     train: epoch 28 loss 0.205675  auc  0.0000 MAE  0.0947 rmse  0.1378  df(ActivateDay.Avg) 0.0014
               valid loss 2.502356  auc  0.0000 MAE  0.4409 rmse  0.4575  df(ActivateDay.Avg) 5.1451
     train: epoch 29 loss 0.400486  auc  0.0000 MAE  0.1052 rmse  0.1923  df(ActivateDay.Avg) 0.0010
               valid loss 2.482693  auc  0.0000 MAE  0.4405 rmse  0.4567  df(ActivateDay.Avg) 5.1454
     train: epoch 30 loss 0.207728  auc  0.0000 MAE  0.0941 rmse  0.1385  df(ActivateDay.Avg) 0.0045
               valid loss 2.513805  auc  0.0000 MAE  0.4398 rmse  0.4571  df(ActivateDay.Avg) 5.1224
     train: epoch 31 loss 0.219842  auc  0.0000 MAE  0.0947 rmse  0.1425  df(ActivateDay.Avg) 0.0047
               valid loss 2.481252  auc  0.0000 MAE  0.4404 rmse  0.4566  df(ActivateDay.Avg) 5.1435
