{'model_name': 'CLSA', 'clas_conv2_kernel': 3, 'clsa_conv2_output_size': 7, 'clas_pool_kernel': 2, 'lstm_input_size': 100, 'hidden_size': 14, 'attention_input_size': 28, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=1), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 0.214890  auc  0.0000 MAE  0.0974 rmse  0.1409  df(ActivateDay.Avg) 0.0794
               valid loss 4.318360  auc  0.0000 MAE  0.0876 rmse  0.1250  df(ActivateDay.Avg) 0.0083
                test loss 11.519349  auc  0.0000 MAE  0.0865 rmse  0.1237  df(ActivateDay.Avg) 0.0224
      train: epoch 1 loss 0.166684  auc  0.0000 MAE  0.0862 rmse  0.1241  df(ActivateDay.Avg) 0.0016
               valid loss 4.388514  auc  0.0000 MAE  0.0867 rmse  0.1247  df(ActivateDay.Avg) 0.0477
                test loss 11.686251  auc  0.0000 MAE  0.0857 rmse  0.1232  df(ActivateDay.Avg) 0.0299
      train: epoch 2 loss 0.164894  auc  0.0000 MAE  0.0857 rmse  0.1234  df(ActivateDay.Avg) 0.0016
               valid loss 4.407932  auc  0.0000 MAE  0.0853 rmse  0.1240  df(ActivateDay.Avg) 0.0516
                test loss 11.731777  auc  0.0000 MAE  0.0843 rmse  0.1225  df(ActivateDay.Avg) 0.0327
      train: epoch 3 loss 0.164500  auc  0.0000 MAE  0.0856 rmse  0.1233  df(ActivateDay.Avg) 0.0015
               valid loss 4.280887  auc  0.0000 MAE  0.0877 rmse  0.1241  df(ActivateDay.Avg) 0.0267
      train: epoch 4 loss 0.163851  auc  0.0000 MAE  0.0854 rmse  0.1230  df(ActivateDay.Avg) 0.0015
               valid loss 4.371652  auc  0.0000 MAE  0.0853 rmse  0.1240  df(ActivateDay.Avg) 0.0116
                test loss 11.624505  auc  0.0000 MAE  0.0843 rmse  0.1225  df(ActivateDay.Avg) 0.0101
      train: epoch 5 loss 0.163595  auc  0.0000 MAE  0.0853 rmse  0.1229  df(ActivateDay.Avg) 0.0001
               valid loss 4.229608  auc  0.0000 MAE  0.0879 rmse  0.1239  df(ActivateDay.Avg) 0.0671
                test loss 11.237727  auc  0.0000 MAE  0.0871 rmse  0.1225  df(ActivateDay.Avg) 0.0907
      train: epoch 6 loss 0.163830  auc  0.0000 MAE  0.0853 rmse  0.1230  df(ActivateDay.Avg) 0.0022
               valid loss 4.361960  auc  0.0000 MAE  0.0857 rmse  0.1239  df(ActivateDay.Avg) 0.0183
                test loss 11.578517  auc  0.0000 MAE  0.0849 rmse  0.1222  df(ActivateDay.Avg) 0.0062
