{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.2, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=1), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23230,  6089,  3359,  2442,  1971,  1626,  1357,  1037,   829,
         629,   498,   367,   272,   209,   122,    98,    78,    61,
          35,    28,    20,    16,    10,    13])}
     train: epoch 21 loss 0.160265  auc  0.0000 MAE  0.0848 rmse  0.1217  df(ActivateDay.Avg) 0.0162
               valid loss 4.056214  auc  0.0000 MAE  0.0900 rmse  0.1222  df(ActivateDay.Avg) 0.1568
     train: epoch 22 loss 0.160085  auc  0.0000 MAE  0.0850 rmse  0.1216  df(ActivateDay.Avg) 0.0189
               valid loss 4.164004  auc  0.0000 MAE  0.0869 rmse  0.1219  df(ActivateDay.Avg) 0.0915
     train: epoch 23 loss 0.160337  auc  0.0000 MAE  0.0849 rmse  0.1217  df(ActivateDay.Avg) 0.0158
               valid loss 4.156400  auc  0.0000 MAE  0.0870 rmse  0.1219  df(ActivateDay.Avg) 0.0973
     train: epoch 24 loss 0.160476  auc  0.0000 MAE  0.0849 rmse  0.1217  df(ActivateDay.Avg) 0.0171
               valid loss 4.230112  auc  0.0000 MAE  0.0856 rmse  0.1216  df(ActivateDay.Avg) 0.0462
     train: epoch 25 loss 0.160211  auc  0.0000 MAE  0.0849 rmse  0.1216  df(ActivateDay.Avg) 0.0160
               valid loss 4.475106  auc  0.0000 MAE  0.0815 rmse  0.1221  df(ActivateDay.Avg) 0.0776
     train: epoch 26 loss 0.160252  auc  0.0000 MAE  0.0849 rmse  0.1217  df(ActivateDay.Avg) 0.0167
               valid loss 4.331124  auc  0.0000 MAE  0.0840 rmse  0.1217  df(ActivateDay.Avg) 0.0186
     train: epoch 27 loss 0.160135  auc  0.0000 MAE  0.0848 rmse  0.1216  df(ActivateDay.Avg) 0.0156
               valid loss 4.161323  auc  0.0000 MAE  0.0873 rmse  0.1218  df(ActivateDay.Avg) 0.0868
     train: epoch 28 loss 0.160126  auc  0.0000 MAE  0.0849 rmse  0.1216  df(ActivateDay.Avg) 0.0173
               valid loss 4.259575  auc  0.0000 MAE  0.0850 rmse  0.1217  df(ActivateDay.Avg) 0.0284
     train: epoch 29 loss 0.160251  auc  0.0000 MAE  0.0850 rmse  0.1217  df(ActivateDay.Avg) 0.0182
               valid loss 4.169580  auc  0.0000 MAE  0.0872 rmse  0.1220  df(ActivateDay.Avg) 0.0842
     train: epoch 30 loss 0.160165  auc  0.0000 MAE  0.0848 rmse  0.1216  df(ActivateDay.Avg) 0.0149
               valid loss 4.167795  auc  0.0000 MAE  0.0871 rmse  0.1217  df(ActivateDay.Avg) 0.0821
     train: epoch 31 loss 0.160158  auc  0.0000 MAE  0.0850 rmse  0.1216  df(ActivateDay.Avg) 0.0179
               valid loss 4.466081  auc  0.0000 MAE  0.0820 rmse  0.1220  df(ActivateDay.Avg) 0.0920
     train: epoch 32 loss 0.160154  auc  0.0000 MAE  0.0850 rmse  0.1216  df(ActivateDay.Avg) 0.0194
               valid loss 4.302379  auc  0.0000 MAE  0.0843 rmse  0.1217  df(ActivateDay.Avg) 0.0028
     train: epoch 33 loss 0.160004  auc  0.0000 MAE  0.0850 rmse  0.1216  df(ActivateDay.Avg) 0.0190
               valid loss 4.266894  auc  0.0000 MAE  0.0848 rmse  0.1216  df(ActivateDay.Avg) 0.0251
     train: epoch 34 loss 0.159938  auc  0.0000 MAE  0.0849 rmse  0.1215  df(ActivateDay.Avg) 0.0193
               valid loss 4.432018  auc  0.0000 MAE  0.0825 rmse  0.1220  df(ActivateDay.Avg) 0.0730
     train: epoch 35 loss 0.160286  auc  0.0000 MAE  0.0849 rmse  0.1217  df(ActivateDay.Avg) 0.0166
               valid loss 4.297205  auc  0.0000 MAE  0.0842 rmse  0.1217  df(ActivateDay.Avg) 0.0135
     train: epoch 36 loss 0.160029  auc  0.0000 MAE  0.0849 rmse  0.1216  df(ActivateDay.Avg) 0.0179
               valid loss 4.268916  auc  0.0000 MAE  0.0850 rmse  0.1216  df(ActivateDay.Avg) 0.0185
     train: epoch 37 loss 0.160255  auc  0.0000 MAE  0.0850 rmse  0.1217  df(ActivateDay.Avg) 0.0179
               valid loss 4.375552  auc  0.0000 MAE  0.0831 rmse  0.1219  df(ActivateDay.Avg) 0.0358
     train: epoch 38 loss 0.160469  auc  0.0000 MAE  0.0851 rmse  0.1217  df(ActivateDay.Avg) 0.0187
               valid loss 4.224959  auc  0.0000 MAE  0.0855 rmse  0.1223  df(ActivateDay.Avg) 0.0653
     train: epoch 39 loss 0.159988  auc  0.0000 MAE  0.0848 rmse  0.1216  df(ActivateDay.Avg) 0.0164
               valid loss 4.474383  auc  0.0000 MAE  0.0818 rmse  0.1220  df(ActivateDay.Avg) 0.0948
     train: epoch 40 loss 0.160442  auc  0.0000 MAE  0.0851 rmse  0.1217  df(ActivateDay.Avg) 0.0192
               valid loss 4.627216  auc  0.0000 MAE  0.0798 rmse  0.1226  df(ActivateDay.Avg) 0.1603
     train: epoch 41 loss 0.159906  auc  0.0000 MAE  0.0850 rmse  0.1215  df(ActivateDay.Avg) 0.0212
               valid loss 4.298976  auc  0.0000 MAE  0.0842 rmse  0.1216  df(ActivateDay.Avg) 0.0080
     train: epoch 42 loss 0.160144  auc  0.0000 MAE  0.0850 rmse  0.1216  df(ActivateDay.Avg) 0.0175
               valid loss 4.085459  auc  0.0000 MAE  0.0894 rmse  0.1221  df(ActivateDay.Avg) 0.1334
     train: epoch 43 loss 0.159886  auc  0.0000 MAE  0.0849 rmse  0.1215  df(ActivateDay.Avg) 0.0184
               valid loss 4.240966  auc  0.0000 MAE  0.0851 rmse  0.1217  df(ActivateDay.Avg) 0.0472
     train: epoch 44 loss 0.159965  auc  0.0000 MAE  0.0849 rmse  0.1215  df(ActivateDay.Avg) 0.0203
               valid loss 4.543554  auc  0.0000 MAE  0.0813 rmse  0.1226  df(ActivateDay.Avg) 0.1373
     train: epoch 45 loss 0.159658  auc  0.0000 MAE  0.0848 rmse  0.1214  df(ActivateDay.Avg) 0.0186
               valid loss 4.318393  auc  0.0000 MAE  0.0839 rmse  0.1216  df(ActivateDay.Avg) 0.0091
     train: epoch 46 loss 0.159904  auc  0.0000 MAE  0.0850 rmse  0.1215  df(ActivateDay.Avg) 0.0198
               valid loss 4.121315  auc  0.0000 MAE  0.0879 rmse  0.1224  df(ActivateDay.Avg) 0.1245
     train: epoch 47 loss 0.159640  auc  0.0000 MAE  0.0849 rmse  0.1214  df(ActivateDay.Avg) 0.0201
               valid loss 4.256872  auc  0.0000 MAE  0.0851 rmse  0.1219  df(ActivateDay.Avg) 0.0342
     train: epoch 48 loss 0.160034  auc  0.0000 MAE  0.0850 rmse  0.1216  df(ActivateDay.Avg) 0.0194
               valid loss 4.452279  auc  0.0000 MAE  0.0821 rmse  0.1219  df(ActivateDay.Avg) 0.0858
     train: epoch 49 loss 0.160161  auc  0.0000 MAE  0.0849 rmse  0.1216  df(ActivateDay.Avg) 0.0176
               valid loss 4.047229  auc  0.0000 MAE  0.0901 rmse  0.1222  df(ActivateDay.Avg) 0.1619
     train: epoch 50 loss 0.160460  auc  0.0000 MAE  0.0850 rmse  0.1217  df(ActivateDay.Avg) 0.0158
               valid loss 4.364565  auc  0.0000 MAE  0.0830 rmse  0.1215  df(ActivateDay.Avg) 0.0305
