{'model_name': 'MLP', 'embedding_size': 64, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'deep_layers': [100, 50], 'dropout_p': 0.2, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 4, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=4), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.204957  auc  0.0000 MAE  0.0861 rmse  0.1376  df(ActivateDay.Avg) 0.1495
               valid loss 4.501018  auc  0.0000 MAE  0.0816 rmse  0.1240  df(ActivateDay.Avg) 0.0374
                test loss 12.167729  auc  0.0000 MAE  0.0826 rmse  0.1240  df(ActivateDay.Avg) 0.0309
      train: epoch 1 loss 0.171961  auc  0.0000 MAE  0.0830 rmse  0.1260  df(ActivateDay.Avg) 0.0653
               valid loss 4.361915  auc  0.0000 MAE  0.0811 rmse  0.1207  df(ActivateDay.Avg) 0.0073
                test loss 11.832079  auc  0.0000 MAE  0.0821 rmse  0.1212  df(ActivateDay.Avg) 0.0030
      train: epoch 2 loss 0.165313  auc  0.0000 MAE  0.0831 rmse  0.1236  df(ActivateDay.Avg) 0.0359
               valid loss 4.405714  auc  0.0000 MAE  0.0799 rmse  0.1203  df(ActivateDay.Avg) 0.0637
                test loss 11.996516  auc  0.0000 MAE  0.0802 rmse  0.1201  df(ActivateDay.Avg) 0.0686
      train: epoch 3 loss 0.162638  auc  0.0000 MAE  0.0833 rmse  0.1226  df(ActivateDay.Avg) 0.0257
