{'model_name': 'MLP', 'embedding_size': 64, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'deep_layers': [100, 50], 'dropout_p': 0.2, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 7, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=7), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23230,  6089,  3359,  2442,  1971,  1626,  1357,  1037,   829,
         629,   498,   367,   272,   209,   122,    98,    78,    61,
          35,    28,    20,    16,    10,    13])}
      train: epoch 0 loss 0.212028  auc  0.0000 MAE  0.0869 rmse  0.1399  df(ActivateDay.Avg) 0.1481
               valid loss 4.887623  auc  0.0000 MAE  0.0823 rmse  0.1293  df(ActivateDay.Avg) 0.1944
                test loss 12.956628  auc  0.0000 MAE  0.0818 rmse  0.1272  df(ActivateDay.Avg) 0.1713
      train: epoch 1 loss 0.175698  auc  0.0000 MAE  0.0834 rmse  0.1274  df(ActivateDay.Avg) 0.0713
               valid loss 4.874894  auc  0.0000 MAE  0.0778 rmse  0.1237  df(ActivateDay.Avg) 0.2098
                test loss 12.971878  auc  0.0000 MAE  0.0772 rmse  0.1219  df(ActivateDay.Avg) 0.1937
      train: epoch 2 loss 0.166228  auc  0.0000 MAE  0.0825 rmse  0.1239  df(ActivateDay.Avg) 0.0423
               valid loss 4.556707  auc  0.0000 MAE  0.0809 rmse  0.1224  df(ActivateDay.Avg) 0.0823
                test loss 12.153427  auc  0.0000 MAE  0.0800 rmse  0.1207  df(ActivateDay.Avg) 0.0727
      train: epoch 3 loss 0.161443  auc  0.0000 MAE  0.0825 rmse  0.1221  df(ActivateDay.Avg) 0.0270
               valid loss 4.308675  auc  0.0000 MAE  0.0828 rmse  0.1202  df(ActivateDay.Avg) 0.0091
                test loss 11.519294  auc  0.0000 MAE  0.0822 rmse  0.1191  df(ActivateDay.Avg) 0.0155
      train: epoch 4 loss 0.160552  auc  0.0000 MAE  0.0828 rmse  0.1218  df(ActivateDay.Avg) 0.0184
               valid loss 4.360451  auc  0.0000 MAE  0.0824 rmse  0.1207  df(ActivateDay.Avg) 0.0309
      train: epoch 5 loss 0.160409  auc  0.0000 MAE  0.0829 rmse  0.1217  df(ActivateDay.Avg) 0.0155
               valid loss 4.262741  auc  0.0000 MAE  0.0836 rmse  0.1206  df(ActivateDay.Avg) 0.0298
      train: epoch 6 loss 0.160422  auc  0.0000 MAE  0.0830 rmse  0.1217  df(ActivateDay.Avg) 0.0135
               valid loss 4.429685  auc  0.0000 MAE  0.0808 rmse  0.1204  df(ActivateDay.Avg) 0.0637
      train: epoch 7 loss 0.159947  auc  0.0000 MAE  0.0829 rmse  0.1215  df(ActivateDay.Avg) 0.0128
               valid loss 4.409519  auc  0.0000 MAE  0.0810 rmse  0.1206  df(ActivateDay.Avg) 0.0322
      train: epoch 8 loss 0.159677  auc  0.0000 MAE  0.0830 rmse  0.1214  df(ActivateDay.Avg) 0.0098
               valid loss 4.528157  auc  0.0000 MAE  0.0802 rmse  0.1215  df(ActivateDay.Avg) 0.1026
      train: epoch 9 loss 0.159984  auc  0.0000 MAE  0.0832 rmse  0.1216  df(ActivateDay.Avg) 0.0086
               valid loss 4.354832  auc  0.0000 MAE  0.0821 rmse  0.1210  df(ActivateDay.Avg) 0.0054
     train: epoch 10 loss 0.159691  auc  0.0000 MAE  0.0829 rmse  0.1214  df(ActivateDay.Avg) 0.0124
               valid loss 4.365558  auc  0.0000 MAE  0.0819 rmse  0.1205  df(ActivateDay.Avg) 0.0318
     train: epoch 11 loss 0.159508  auc  0.0000 MAE  0.0830 rmse  0.1214  df(ActivateDay.Avg) 0.0082
               valid loss 4.459113  auc  0.0000 MAE  0.0806 rmse  0.1208  df(ActivateDay.Avg) 0.0663
     train: epoch 12 loss 0.159345  auc  0.0000 MAE  0.0829 rmse  0.1213  df(ActivateDay.Avg) 0.0109
               valid loss 4.263301  auc  0.0000 MAE  0.0835 rmse  0.1210  df(ActivateDay.Avg) 0.0470
     train: epoch 13 loss 0.159704  auc  0.0000 MAE  0.0831 rmse  0.1214  df(ActivateDay.Avg) 0.0061
               valid loss 4.481047  auc  0.0000 MAE  0.0802 rmse  0.1210  df(ActivateDay.Avg) 0.0569
     train: epoch 14 loss 0.159563  auc  0.0000 MAE  0.0830 rmse  0.1214  df(ActivateDay.Avg) 0.0081
               valid loss 4.274830  auc  0.0000 MAE  0.0835 rmse  0.1207  df(ActivateDay.Avg) 0.0165
     train: epoch 15 loss 0.160161  auc  0.0000 MAE  0.0832 rmse  0.1216  df(ActivateDay.Avg) 0.0067
               valid loss 4.378254  auc  0.0000 MAE  0.0817 rmse  0.1208  df(ActivateDay.Avg) 0.0201
     train: epoch 16 loss 0.159174  auc  0.0000 MAE  0.0830 rmse  0.1212  df(ActivateDay.Avg) 0.0070
               valid loss 4.471346  auc  0.0000 MAE  0.0804 rmse  0.1208  df(ActivateDay.Avg) 0.0799
     train: epoch 17 loss 0.159125  auc  0.0000 MAE  0.0829 rmse  0.1212  df(ActivateDay.Avg) 0.0087
               valid loss 4.302881  auc  0.0000 MAE  0.0829 rmse  0.1209  df(ActivateDay.Avg) 0.0215
