{'model_name': 'RNN', 'input_size': 7, 'hidden_size': 64, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
               valid loss 4.509511  auc  0.0000 MAE  0.0815 rmse  0.1223  df(ActivateDay.Avg) 0.1238
     train: epoch 22 loss 0.158710  auc  0.0000 MAE  0.0854 rmse  0.1211  df(ActivateDay.Avg) 0.0449
               valid loss 4.105026  auc  0.0000 MAE  0.0880 rmse  0.1215  df(ActivateDay.Avg) 0.1181
     train: epoch 23 loss 0.158864  auc  0.0000 MAE  0.0854 rmse  0.1211  df(ActivateDay.Avg) 0.0472
               valid loss 4.426215  auc  0.0000 MAE  0.0823 rmse  0.1228  df(ActivateDay.Avg) 0.0586
     train: epoch 24 loss 0.159608  auc  0.0000 MAE  0.0856 rmse  0.1214  df(ActivateDay.Avg) 0.0449
               valid loss 4.211469  auc  0.0000 MAE  0.0864 rmse  0.1219  df(ActivateDay.Avg) 0.0517
     train: epoch 25 loss 0.159125  auc  0.0000 MAE  0.0855 rmse  0.1212  df(ActivateDay.Avg) 0.0459
               valid loss 4.213794  auc  0.0000 MAE  0.0853 rmse  0.1221  df(ActivateDay.Avg) 0.0666
     train: epoch 26 loss 0.159274  auc  0.0000 MAE  0.0855 rmse  0.1213  df(ActivateDay.Avg) 0.0464
               valid loss 4.232047  auc  0.0000 MAE  0.0856 rmse  0.1216  df(ActivateDay.Avg) 0.0393
     train: epoch 27 loss 0.159166  auc  0.0000 MAE  0.0855 rmse  0.1212  df(ActivateDay.Avg) 0.0479
               valid loss 4.133839  auc  0.0000 MAE  0.0883 rmse  0.1214  df(ActivateDay.Avg) 0.0924
     train: epoch 28 loss 0.159433  auc  0.0000 MAE  0.0856 rmse  0.1213  df(ActivateDay.Avg) 0.0479
               valid loss 4.338773  auc  0.0000 MAE  0.0836 rmse  0.1217  df(ActivateDay.Avg) 0.0209
     train: epoch 29 loss 0.158764  auc  0.0000 MAE  0.0854 rmse  0.1211  df(ActivateDay.Avg) 0.0464
               valid loss 4.186949  auc  0.0000 MAE  0.0876 rmse  0.1217  df(ActivateDay.Avg) 0.0533
     train: epoch 30 loss 0.159606  auc  0.0000 MAE  0.0856 rmse  0.1214  df(ActivateDay.Avg) 0.0477
               valid loss 4.195284  auc  0.0000 MAE  0.0860 rmse  0.1215  df(ActivateDay.Avg) 0.0652
     train: epoch 31 loss 0.159825  auc  0.0000 MAE  0.0857 rmse  0.1215  df(ActivateDay.Avg) 0.0474
               valid loss 4.226080  auc  0.0000 MAE  0.0854 rmse  0.1211  df(ActivateDay.Avg) 0.0394
                test loss 11.319354  auc  0.0000 MAE  0.0841 rmse  0.1195  df(ActivateDay.Avg) 0.0434
     train: epoch 32 loss 0.159643  auc  0.0000 MAE  0.0854 rmse  0.1214  df(ActivateDay.Avg) 0.0435
               valid loss 3.933844  auc  0.0000 MAE  0.0926 rmse  0.1228  df(ActivateDay.Avg) 0.2436
     train: epoch 33 loss 0.158939  auc  0.0000 MAE  0.0856 rmse  0.1212  df(ActivateDay.Avg) 0.0481
               valid loss 4.291825  auc  0.0000 MAE  0.0847 rmse  0.1215  df(ActivateDay.Avg) 0.0010
     train: epoch 34 loss 0.159219  auc  0.0000 MAE  0.0856 rmse  0.1213  df(ActivateDay.Avg) 0.0470
               valid loss 4.375699  auc  0.0000 MAE  0.0831 rmse  0.1214  df(ActivateDay.Avg) 0.0536
     train: epoch 35 loss 0.159245  auc  0.0000 MAE  0.0853 rmse  0.1213  df(ActivateDay.Avg) 0.0439
               valid loss 4.144755  auc  0.0000 MAE  0.0877 rmse  0.1217  df(ActivateDay.Avg) 0.0919
     train: epoch 36 loss 0.159333  auc  0.0000 MAE  0.0855 rmse  0.1213  df(ActivateDay.Avg) 0.0468
               valid loss 4.039633  auc  0.0000 MAE  0.0900 rmse  0.1221  df(ActivateDay.Avg) 0.1653
     train: epoch 37 loss 0.159204  auc  0.0000 MAE  0.0855 rmse  0.1213  df(ActivateDay.Avg) 0.0455
               valid loss 4.382507  auc  0.0000 MAE  0.0828 rmse  0.1218  df(ActivateDay.Avg) 0.0474
     train: epoch 38 loss 0.159509  auc  0.0000 MAE  0.0857 rmse  0.1214  df(ActivateDay.Avg) 0.0484
               valid loss 4.258066  auc  0.0000 MAE  0.0863 rmse  0.1218  df(ActivateDay.Avg) 0.0060
     train: epoch 39 loss 0.159229  auc  0.0000 MAE  0.0854 rmse  0.1213  df(ActivateDay.Avg) 0.0454
               valid loss 4.053675  auc  0.0000 MAE  0.0902 rmse  0.1222  df(ActivateDay.Avg) 0.1506
     train: epoch 40 loss 0.159378  auc  0.0000 MAE  0.0856 rmse  0.1213  df(ActivateDay.Avg) 0.0471
               valid loss 4.688850  auc  0.0000 MAE  0.0806 rmse  0.1243  df(ActivateDay.Avg) 0.2200
     train: epoch 41 loss 0.159348  auc  0.0000 MAE  0.0856 rmse  0.1213  df(ActivateDay.Avg) 0.0462
               valid loss 4.162965  auc  0.0000 MAE  0.0877 rmse  0.1214  df(ActivateDay.Avg) 0.0734
     train: epoch 42 loss 0.159563  auc  0.0000 MAE  0.0857 rmse  0.1214  df(ActivateDay.Avg) 0.0482
               valid loss 4.349105  auc  0.0000 MAE  0.0836 rmse  0.1214  df(ActivateDay.Avg) 0.0360
     train: epoch 43 loss 0.159159  auc  0.0000 MAE  0.0855 rmse  0.1212  df(ActivateDay.Avg) 0.0458
               valid loss 4.254593  auc  0.0000 MAE  0.0862 rmse  0.1218  df(ActivateDay.Avg) 0.0125
     train: epoch 44 loss 0.159346  auc  0.0000 MAE  0.0856 rmse  0.1213  df(ActivateDay.Avg) 0.0472
               valid loss 4.032218  auc  0.0000 MAE  0.0898 rmse  0.1224  df(ActivateDay.Avg) 0.1761
     train: epoch 45 loss 0.159451  auc  0.0000 MAE  0.0856 rmse  0.1213  df(ActivateDay.Avg) 0.0462
               valid loss 4.299651  auc  0.0000 MAE  0.0843 rmse  0.1215  df(ActivateDay.Avg) 0.0031
     train: epoch 46 loss 0.159778  auc  0.0000 MAE  0.0857 rmse  0.1215  df(ActivateDay.Avg) 0.0450
               valid loss 4.120455  auc  0.0000 MAE  0.0882 rmse  0.1214  df(ActivateDay.Avg) 0.1054
     train: epoch 47 loss 0.159534  auc  0.0000 MAE  0.0856 rmse  0.1214  df(ActivateDay.Avg) 0.0463
               valid loss 4.302248  auc  0.0000 MAE  0.0840 rmse  0.1214  df(ActivateDay.Avg) 0.0002
     train: epoch 48 loss 0.159950  auc  0.0000 MAE  0.0857 rmse  0.1215  df(ActivateDay.Avg) 0.0459
               valid loss 4.160302  auc  0.0000 MAE  0.0871 rmse  0.1214  df(ActivateDay.Avg) 0.0803
     train: epoch 49 loss 0.159029  auc  0.0000 MAE  0.0855 rmse  0.1212  df(ActivateDay.Avg) 0.0476
               valid loss 4.170676  auc  0.0000 MAE  0.0874 rmse  0.1214  df(ActivateDay.Avg) 0.0670
     train: epoch 50 loss 0.159289  auc  0.0000 MAE  0.0855 rmse  0.1213  df(ActivateDay.Avg) 0.0450
               valid loss 3.802827  auc  0.0000 MAE  0.0972 rmse  0.1247  df(ActivateDay.Avg) 0.3475
     train: epoch 51 loss 0.159437  auc  0.0000 MAE  0.0856 rmse  0.1213  df(ActivateDay.Avg) 0.0471
               valid loss 4.233429  auc  0.0000 MAE  0.0873 rmse  0.1220  df(ActivateDay.Avg) 0.0203
     train: epoch 52 loss 0.159562  auc  0.0000 MAE  0.0857 rmse  0.1214  df(ActivateDay.Avg) 0.0487
               valid loss 4.477909  auc  0.0000 MAE  0.0817 rmse  0.1219  df(ActivateDay.Avg) 0.1078
     train: epoch 53 loss 0.159320  auc  0.0000 MAE  0.0853 rmse  0.1213  df(ActivateDay.Avg) 0.0421
               valid loss 4.377351  auc  0.0000 MAE  0.0827 rmse  0.1222  df(ActivateDay.Avg) 0.0311
     train: epoch 54 loss 0.159090  auc  0.0000 MAE  0.0857 rmse  0.1212  df(ActivateDay.Avg) 0.0498
               valid loss 4.195782  auc  0.0000 MAE  0.0863 rmse  0.1214  df(ActivateDay.Avg) 0.0585
     train: epoch 55 loss 0.159510  auc  0.0000 MAE  0.0855 rmse  0.1214  df(ActivateDay.Avg) 0.0454
               valid loss 4.439506  auc  0.0000 MAE  0.0850 rmse  0.1238  df(ActivateDay.Avg) 0.1040
     train: epoch 56 loss 0.159683  auc  0.0000 MAE  0.0856 rmse  0.1214  df(ActivateDay.Avg) 0.0476
               valid loss 4.133999  auc  0.0000 MAE  0.0879 rmse  0.1215  df(ActivateDay.Avg) 0.0968
     train: epoch 57 loss 0.159367  auc  0.0000 MAE  0.0855 rmse  0.1213  df(ActivateDay.Avg) 0.0448
               valid loss 4.123948  auc  0.0000 MAE  0.0882 rmse  0.1216  df(ActivateDay.Avg) 0.1038
     train: epoch 58 loss 0.159517  auc  0.0000 MAE  0.0856 rmse  0.1214  df(ActivateDay.Avg) 0.0466
               valid loss 3.989177  auc  0.0000 MAE  0.0908 rmse  0.1225  df(ActivateDay.Avg) 0.2053
     train: epoch 59 loss 0.159172  auc  0.0000 MAE  0.0855 rmse  0.1212  df(ActivateDay.Avg) 0.0461
               valid loss 4.258945  auc  0.0000 MAE  0.0861 rmse  0.1216  df(ActivateDay.Avg) 0.0110
     train: epoch 60 loss 0.158794  auc  0.0000 MAE  0.0854 rmse  0.1211  df(ActivateDay.Avg) 0.0475
               valid loss 3.943272  auc  0.0000 MAE  0.0921 rmse  0.1242  df(ActivateDay.Avg) 0.2503
     train: epoch 61 loss 0.159764  auc  0.0000 MAE  0.0856 rmse  0.1215  df(ActivateDay.Avg) 0.0460
               valid loss 4.005929  auc  0.0000 MAE  0.0906 rmse  0.1229  df(ActivateDay.Avg) 0.1977
     train: epoch 62 loss 0.159412  auc  0.0000 MAE  0.0857 rmse  0.1213  df(ActivateDay.Avg) 0.0489
               valid loss 4.595536  auc  0.0000 MAE  0.0810 rmse  0.1231  df(ActivateDay.Avg) 0.1709
     train: epoch 63 loss 0.159463  auc  0.0000 MAE  0.0855 rmse  0.1214  df(ActivateDay.Avg) 0.0446
               valid loss 4.060915  auc  0.0000 MAE  0.0901 rmse  0.1217  df(ActivateDay.Avg) 0.1393
     train: epoch 64 loss 0.159249  auc  0.0000 MAE  0.0855 rmse  0.1213  df(ActivateDay.Avg) 0.0474
               valid loss 4.107931  auc  0.0000 MAE  0.0880 rmse  0.1216  df(ActivateDay.Avg) 0.1199
     train: epoch 65 loss 0.158956  auc  0.0000 MAE  0.0854 rmse  0.1212  df(ActivateDay.Avg) 0.0458
               valid loss 3.872252  auc  0.0000 MAE  0.0950 rmse  0.1236  df(ActivateDay.Avg) 0.2894
     train: epoch 66 loss 0.159274  auc  0.0000 MAE  0.0856 rmse  0.1213  df(ActivateDay.Avg) 0.0478
