{'model_name': 'CLSA', 'clas_conv2_kernel': 3, 'clsa_conv2_output_size': 7, 'clas_pool_kernel': 2, 'lstm_input_size': 100, 'hidden_size': 14, 'attention_input_size': 28, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 5, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=5), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23230,  6089,  3359,  2442,  1971,  1626,  1357,  1037,   829,
         629,   498,   367,   272,   209,   122,    98,    78,    61,
          35,    28,    20,    16,    10,    13])}
      train: epoch 0 loss 0.202513  auc  0.0000 MAE  0.0955 rmse  0.1368  df(ActivateDay.Avg) 0.0830
               valid loss 4.476045  auc  0.0000 MAE  0.0842 rmse  0.1249  df(ActivateDay.Avg) 0.0807
                test loss 11.978562  auc  0.0000 MAE  0.0836 rmse  0.1240  df(ActivateDay.Avg) 0.0770
      train: epoch 1 loss 0.168324  auc  0.0000 MAE  0.0869 rmse  0.1247  df(ActivateDay.Avg) 0.0010
               valid loss 4.114403  auc  0.0000 MAE  0.0910 rmse  0.1245  df(ActivateDay.Avg) 0.1361
                test loss 11.012351  auc  0.0000 MAE  0.0903 rmse  0.1240  df(ActivateDay.Avg) 0.1395
      train: epoch 2 loss 0.166700  auc  0.0000 MAE  0.0865 rmse  0.1241  df(ActivateDay.Avg) 0.0021
               valid loss 4.327073  auc  0.0000 MAE  0.0858 rmse  0.1234  df(ActivateDay.Avg) 0.0054
                test loss 11.576240  auc  0.0000 MAE  0.0853 rmse  0.1227  df(ActivateDay.Avg) 0.0004
      train: epoch 3 loss 0.165517  auc  0.0000 MAE  0.0860 rmse  0.1236  df(ActivateDay.Avg) 0.0009
               valid loss 4.671663  auc  0.0000 MAE  0.0808 rmse  0.1244  df(ActivateDay.Avg) 0.1781
      train: epoch 4 loss 0.164928  auc  0.0000 MAE  0.0859 rmse  0.1234  df(ActivateDay.Avg) 0.0001
               valid loss 4.269804  auc  0.0000 MAE  0.0862 rmse  0.1232  df(ActivateDay.Avg) 0.0403
                test loss 11.415173  auc  0.0000 MAE  0.0859 rmse  0.1227  df(ActivateDay.Avg) 0.0488
      train: epoch 5 loss 0.164638  auc  0.0000 MAE  0.0858 rmse  0.1233  df(ActivateDay.Avg) 0.0013
               valid loss 4.178832  auc  0.0000 MAE  0.0881 rmse  0.1233  df(ActivateDay.Avg) 0.0957
      train: epoch 6 loss 0.164379  auc  0.0000 MAE  0.0858 rmse  0.1232  df(ActivateDay.Avg) 0.0003
               valid loss 4.257861  auc  0.0000 MAE  0.0863 rmse  0.1228  df(ActivateDay.Avg) 0.0391
                test loss 11.374205  auc  0.0000 MAE  0.0861 rmse  0.1221  df(ActivateDay.Avg) 0.0490
